id,time,vl
27,-2.01875,2.6576090679593496
27,-1.0506944444444444,3.3647572876224245
27,0.0,7.076966855704071
27,6.098611111111111,3.42415264071173
27,7.1305555555555555,5.432458017043901
27,8.119444444444444,3.7768125496794873
27,9.197916666666666,2.908155510748381
27,10.086805555555555,3.2868008866927103
27,11.07986111111111,2.804213642842097
27,12.084027777777777,3.6914317296136097
27,12.963194444444444,2.6576090679593496
48,-2.2472222222222222,2.6576090679593496
48,-1.1340277777777779,3.1011904082886277
48,0.0,5.105783575052715
48,5.59375,4.040379429013284
48,6.509722222222222,4.600923073793611
48,7.560416666666667,3.487260203369119
48,8.691666666666666,3.2830886771246295
71,-11.79513888888889,2.6576090679593496
71,-9.758333333333333,2.9786874925419333
71,-8.740972222222222,2.6576090679593496
71,-7.834027777777778,2.6576090679593496
71,-7.1090277777777775,3.739690453998671
71,-3.2118055555555554,4.4932689963192445
71,0.0,7.024995921750927
71,1.1215277777777777,4.667742846019081
71,1.770138888888889,3.405591592871322
71,3.8402777777777777,2.9527020255653613
71,5.922916666666667,2.6576090679593496
87,-3.8979166666666667,2.6576090679593496
87,-3.047222222222222,3.5652166042988327
87,-1.9701388888888889,4.28167305093859
87,-0.9229166666666667,5.3582138256822684
87,0.0,7.674632596165216
87,1.0104166666666667,5.339652777841859
87,1.9354166666666666,3.5429433468903415
87,3.1020833333333333,2.707696194071971
87,5.102083333333334,2.6576090679593496
106,-4.340277777777778,2.6576090679593496
106,-3.3777777777777778,5.22828649079941
106,-2.323611111111111,5.528975465814023
106,0.0,6.267705169862271
106,1.007638888888889,5.76655687817125
106,2.16875,4.938734144489041
106,3.0055555555555555,4.192580021304631
106,4.004861111111111,3.2868008866927103
106,5.00625,3.5615043947307514
106,6.0055555555555555,3.6431730052285483
106,7.008333333333334,2.6576090679593496
118,-3.2083333333333335,2.6576090679593496
118,-2.238888888888889,7.147498837497621
118,-1.0847222222222221,7.956760523339421
118,0.0,8.09040006779036
118,0.8777777777777778,7.09924011311256
118,1.9201388888888888,5.840801069532882
118,2.9145833333333333,5.168891137710104
118,3.9229166666666666,4.1443212969195695
118,4.915277777777778,4.48584457718308
118,5.938888888888889,3.914164303698509
118,6.902777777777778,2.83391131938675
118,7.89375,3.8956032558580986
118,8.878472222222221,4.196292230872712
118,9.894444444444444,2.6576090679593496
138,-5.0,2.6576090679593496
138,-4.0,4.1628823447599785
138,-3.0,3.8473445314730395
138,0.0,8.142371001743504
138,5.145138888888889,3.4909724129371993
138,6.0,3.405591592871322
138,7.127083333333333,2.6576090679593496
138,8.141666666666667,2.6576090679593496
