id,time,vl
1,-5.0,2.6576090679593496
1,-4.0,3.713079194176141
1,-3.0,3.9742990934601217
1,-2.0,6.534458416035964
1,-1.0,6.35689775151873
1,0.0,6.715774987055917
1,1.0,6.263946974461934
1,2.0,5.479104373117707
1,3.0,5.511481530776615
1,4.0,4.863466525465467
1,4.999999999999999,5.107722322671476
1,5.999999999999999,4.688564370064337
1,6.999999999999999,3.6021549830981323
1,7.999999999999999,2.7604253024883487
1,9.0,2.6576090679593496
2,-5.0,2.6576090679593496
2,-4.0,4.367647942019395
2,-3.0,4.953875714182555
2,-2.0,6.3184953677764195
2,-1.0,6.705326564338974
2,0.0,6.720068426350373
2,1.0,6.287227826308149
2,2.0,5.974028107254539
2,3.0,5.260405612357691
2,4.0,5.709091646422142
2,4.999999999999999,3.958414942531865
2,5.999999999999999,3.074925535525703
2,6.999999999999999,3.7168653349566756
2,7.999999999999999,2.9460830828020392
2,9.0,3.5003845339728428
2,10.0,2.6576090679593496
3,-4.0,2.6576090679593496
3,-3.0,4.24079471025912
3,-2.0,4.460108896160421
3,-1.0,5.222723936108762
3,0.0,7.802014290856692
3,1.0,6.073558726345363
3,2.0,6.059505407079929
3,3.0,5.354998775084911
3,4.0,5.3611669559116875
3,5.0,3.6280229907726294
3,6.0,2.6576090679593496
4,-5.0,2.6576090679593496
4,-4.0,3.84717427710967
4,-3.0,4.192501102065381
4,-2.0,5.997874013007982
4,-1.0,5.963206714697309
4,0.0,7.047583025290438
4,1.0,5.9756793256340694
4,2.0,5.487005770555664
4,3.0,6.004277602323123
4,4.0,5.16831812369931
4,5.0,4.3719283845286965
4,6.0,3.9708758705616343
4,7.0,3.212905663192917
4,8.0,2.6576090679593496
5,-5.0,2.6576090679593496
5,-4.0,3.0074305888747515
5,-3.0,4.421834907107827
5,-2.0,4.968088088813863
5,-1.0,6.2811294622140235
5,0.0,6.513053423716225
5,0.9999999999999996,5.814817596221604
5,1.9999999999999996,5.610934392011474
5,2.9999999999999996,4.017504580345567
5,3.9999999999999996,4.13597324168399
5,5.0,3.6807586963675853
5,6.0,3.6396095359921263
5,7.0,2.993927011357827
5,8.0,2.7629331118382674
5,9.0,2.6576090679593496
6,-5.0,2.6576090679593496
6,-4.0,3.5273644839237352
6,-3.0,4.809138314534492
6,-2.0,5.640678989877999
6,-1.0,6.667370078438454
6,0.0,6.978701744846601
6,1.0,5.9636110046729565
6,2.0,5.777844372377626
6,3.0,4.974327987123925
6,4.0,4.447299145656007
6,5.0,4.311420151168884
6,6.0,3.5348009255611155
6,7.0,2.9313225112568504
6,8.0,2.705073239949169
6,9.0,2.6576090679593496
7,-3.0,2.6576090679593496
7,-2.0,4.635630648266473
7,-1.0,5.817365595754142
7,0.0,6.803895132819612
7,1.0,6.487877287160108
7,2.0,6.005843323172747
7,3.0,5.653241992658254
7,4.0,6.211190290002974
7,5.0,5.6905523565301825
7,6.0,4.462668915900735
7,7.0,5.21511739569887
7,8.0,4.016053895313628
7,9.0,3.26966619843856
7,10.0,3.521161184092981
7,11.0,2.6576090679593496
8,-7.0,2.6576090679593496
8,-6.0,3.5688043470382413
8,-5.0,4.439976809029323
8,-4.0,6.517710984790046
8,-3.0,6.662918750946063
8,-2.0,6.648142934432121
8,-1.0,6.43565405415979
8,0.0,6.750837999294203
8,1.0,5.031289919610104
8,2.0,5.143038914148016
8,3.0,3.616096369391478
8,4.0,3.382339169866433
8,5.0,3.4006488249300566
8,6.0,3.192366553120084
8,7.0,2.6576090679593496
9,-5.0,2.6576090679593496
9,-4.0,2.8936653801632737
9,-3.0,2.8479832510377627
9,-2.0,4.684567995460855
9,-1.0,5.920036617102402
9,0.0,6.977714368775743
9,0.9999999999999996,6.477356900305109
9,1.9999999999999996,5.0786986863139125
9,2.9999999999999996,5.030245031773903
9,3.9999999999999996,3.745072439755772
9,5.0,3.625590834719566
9,6.0,3.090372998601074
9,7.0,3.3233637342485585
9,8.0,2.6576090679593496
10,-4.0,2.6576090679593496
10,-3.0,4.078622371308867
10,-2.0,5.925108054574272
10,-1.0,6.333467360827059
